X1,X2,X3,X4,X5,X6
대한민국 제19대 대통령 선거 지역별 개표 결과,대한민국 제19대 대통령 선거 지역별 개표 결과,대한민국 제19대 대통령 선거 지역별 개표 결과,대한민국 제19대 대통령 선거 지역별 개표 결과,대한민국 제19대 대통령 선거 지역별 개표 결과,대한민국 제19대 대통령 선거 지역별 개표 결과
정당,더불어민주당,자유한국당,국민의당,바른정당,정의당
후보,문재인,홍준표,안철수,유승민,심상정
전국(득표율),"13,423,800(41.08%)","7,852,849(24.03%)","6,998,342(21.41%)","2,208,771(6.76%)","2,017,458(6.17%)"
서울,"2,781,345(42.34%)","1,365,295(20.78%)","1,492,767(22.72%)","476,973(7.26%)","425,459(6.47%)"
인천,"747,090(41.20%)","373,191(20.91%)","428,888(23.65%)","118,691(6.54%)","129,925(7.16%)"
경기,"3,319,812(42.08%)","1,637,345(20.75%)","1,807,308(22.91%)","540,023(6.84%)","546,373(6.92%)"
강원,"324,768(34.16%)","284,909(29.97%)","206,840(21.75%)","65,278(6.86%)","62,389(6.56%)"
대전,"404,545(42.93%)","191,376(20.30%)","218,769(23.21%)","59,820(6.34%)","63,669(6.75%)"
세종,"77,767(51.08%)","23,211(15.24%)","32,010(21.02%)","9,192(6.03%)","9,353(6.14%)"
충남,"476,661(38.62%)","306,614(24.84%)","290,216(23.51%)","68,521(5.55%)","83,868(6.79%)"
충북,"374,806(38.61%)","255,502(26.32%)","211,454(21.78%)","57,282(5.90%)","65,095(6.70%)"
광주,"583,847(61.14%)","14,882(1.55%)","287,222(30.08%)","20,862(2.18%)","43,719(4.57%)"
전남,"737,921(59.87%)","30,221(2.45%)","378,179(30.68%)","25,819(2.09%)","49,509(4.01%)"
전북,"778,747(64.84%)","40,231(3.34%)","285,467(23.76%)","30,802(2.56%)","59,296(4.93%)"
부산,"872,127(38.71%)","720,484(31.98%)","378,907(16.82%)","162,480(7.21%)","109,329(4.85%)"
울산,"282,794(38.14%)","203,602(27.46%)","128,520(17.33%)","60,289(8.13%)","62,187(8.38%)"
대구,"342,620(21.76%)","714,205(45.36%)","235,757(14.97%)","198,459(12.60%)","74,440(4.72%)"
경남,"779,731(36.73%)","790,491(37.24%)","284,272(13.39%)","142,479(6.71%)","113,051(5.32%)"
경북,"369,726(21.73%)","827,237(48.62%)","253,905(14.92%)","149,017(8.75%)","88,080(5.17%)"
제주,"169,493(45.51%)","68,063(18.27%)","77,861(20.90%)","22,784(6.11%)","31,716(8.51%)"
