X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12
주차,문재인,안철수,홍준표,심상정,유승민,조원진,안희정,이재명,손학규,황교안,반기문
1월 1주차,29%,5%,-,0.2%,1.3%,-,3%,10%,1.4%,3%,18%
2월 1주차,32%,7%,-,0.6%,3%,-,10%,7%,0.5%,9%,8%
2월 2주차,29%,7%,-,-,3%,-,19%,8%,1%,11%,-
2월 3주차,33%,9%,-,-,2%,-,22%,5%,1%,9%,-
2월 4주차,32%,8%,-,-,2%,-,21%,8%,-,8%,-
3월 1주차,34%,9%,0.3%,0.3%,1%,-,15%,8%,-,8%,-
3월 2주차,32%,9%,1%,1%,1%,-,17%,8%,-,9%,-
3월 3주차,33%,10%,2%,1%,0.4%,-,18%,8%,0.3%,7%,-
3월 4주차,31%,10%,6%,2%,1%,-,17%,8%,1%,-,-
3월 5주차,31%,19%,4%,1%,2%,-,14%,8%,-,-,-
4월 1주차,38%,35%,7%,3%,4%,-,-,-,-,-,-
4월 2주차,40%,37%,7%,3%,3%,0.3%,-,-,-,-,-
4월 3주차,41%,30%,9%,4%,3%,0.2%,-,-,-,-,-
4월 4주차,40%,24%,12%,7%,4%,1%,-,-,-,-,-
5월 1주차,38%,20%,16%,8%,6%,0.3%,-,-,-,-,-
주차,문재인,안철수,홍준표,심상정,유승민,조원진,안희정,이재명,손학규,황교안,반기문
이 자료는 한국갤럽에서 자체적으로 조사한 2017년 대선 후보 지지도 주간집계 결과임. 각 주차마다 3일간 조사한 내용을 토대로 하였음.  조사 방법을 비롯한 자세한 내용은 한국갤럽 홈페이지와 중앙선거여론조사공정심의위원회 홈페이지를 참고할 것.,이 자료는 한국갤럽에서 자체적으로 조사한 2017년 대선 후보 지지도 주간집계 결과임. 각 주차마다 3일간 조사한 내용을 토대로 하였음.  조사 방법을 비롯한 자세한 내용은 한국갤럽 홈페이지와 중앙선거여론조사공정심의위원회 홈페이지를 참고할 것.,이 자료는 한국갤럽에서 자체적으로 조사한 2017년 대선 후보 지지도 주간집계 결과임. 각 주차마다 3일간 조사한 내용을 토대로 하였음.  조사 방법을 비롯한 자세한 내용은 한국갤럽 홈페이지와 중앙선거여론조사공정심의위원회 홈페이지를 참고할 것.,이 자료는 한국갤럽에서 자체적으로 조사한 2017년 대선 후보 지지도 주간집계 결과임. 각 주차마다 3일간 조사한 내용을 토대로 하였음.  조사 방법을 비롯한 자세한 내용은 한국갤럽 홈페이지와 중앙선거여론조사공정심의위원회 홈페이지를 참고할 것.,이 자료는 한국갤럽에서 자체적으로 조사한 2017년 대선 후보 지지도 주간집계 결과임. 각 주차마다 3일간 조사한 내용을 토대로 하였음.  조사 방법을 비롯한 자세한 내용은 한국갤럽 홈페이지와 중앙선거여론조사공정심의위원회 홈페이지를 참고할 것.,이 자료는 한국갤럽에서 자체적으로 조사한 2017년 대선 후보 지지도 주간집계 결과임. 각 주차마다 3일간 조사한 내용을 토대로 하였음.  조사 방법을 비롯한 자세한 내용은 한국갤럽 홈페이지와 중앙선거여론조사공정심의위원회 홈페이지를 참고할 것.,이 자료는 한국갤럽에서 자체적으로 조사한 2017년 대선 후보 지지도 주간집계 결과임. 각 주차마다 3일간 조사한 내용을 토대로 하였음.  조사 방법을 비롯한 자세한 내용은 한국갤럽 홈페이지와 중앙선거여론조사공정심의위원회 홈페이지를 참고할 것.,이 자료는 한국갤럽에서 자체적으로 조사한 2017년 대선 후보 지지도 주간집계 결과임. 각 주차마다 3일간 조사한 내용을 토대로 하였음.  조사 방법을 비롯한 자세한 내용은 한국갤럽 홈페이지와 중앙선거여론조사공정심의위원회 홈페이지를 참고할 것.,이 자료는 한국갤럽에서 자체적으로 조사한 2017년 대선 후보 지지도 주간집계 결과임. 각 주차마다 3일간 조사한 내용을 토대로 하였음.  조사 방법을 비롯한 자세한 내용은 한국갤럽 홈페이지와 중앙선거여론조사공정심의위원회 홈페이지를 참고할 것.,이 자료는 한국갤럽에서 자체적으로 조사한 2017년 대선 후보 지지도 주간집계 결과임. 각 주차마다 3일간 조사한 내용을 토대로 하였음.  조사 방법을 비롯한 자세한 내용은 한국갤럽 홈페이지와 중앙선거여론조사공정심의위원회 홈페이지를 참고할 것.,이 자료는 한국갤럽에서 자체적으로 조사한 2017년 대선 후보 지지도 주간집계 결과임. 각 주차마다 3일간 조사한 내용을 토대로 하였음.  조사 방법을 비롯한 자세한 내용은 한국갤럽 홈페이지와 중앙선거여론조사공정심의위원회 홈페이지를 참고할 것.,이 자료는 한국갤럽에서 자체적으로 조사한 2017년 대선 후보 지지도 주간집계 결과임. 각 주차마다 3일간 조사한 내용을 토대로 하였음.  조사 방법을 비롯한 자세한 내용은 한국갤럽 홈페이지와 중앙선거여론조사공정심의위원회 홈페이지를 참고할 것.
