X1,X2,X3,X4,X5,X6,X7,X8
지역별 투표율,지역별 투표율,지역별 투표율,지역별 투표율,지역별 투표율,지역별 투표율,지역별 투표율,지역별 투표율
지역,선거인 수,전체 투표 수,사전 투표 수,사전 투표율,전체 투표율,기권 수,비고
합계,"42,479,710","32,808,577","11,072,310",26.06%,77.2%,"10,391,133",
서울특별시,"8,382,999","6,591,283","2,186,968",26.09%,78.6%,"1,791,716",
부산광역시,"2,950,224","2,261,536","684,116",23.19%,76.7%,"688,688",
대구광역시,"2,043,276","1,581,305","455,229",22.28%,77.4%,"461,971",
인천광역시,"2,409,031","1,818,993","587,228",24.38%,75.5%,"590,038",
광주광역시,"1,166,901","957,318","392,896",33.67%,82.0%,"209,583",
대전광역시,"1,220,602","945,835","335,900",27.52%,77.5%,"274,767",
울산광역시,"941,093","744,938","251,160",26.69%,79.2%,"196,155",
세종특별자치시,"189,421","152,811","65,307",34.48%,80.7%,"36,610",
경기도,"10,262,309","7,916,780","2,557,802",24.92%,77.1%,"2,345,529",
강원도,"1,287,173","955,885","326,234",25.35%,74.3%,"331,288",
충청북도,"1,303,688","975,327","331,729",25.45%,74.8%,"328,361",
충청남도,"1,711,912","1,240,215","414,023",24.18%,72.4%,"471,697",
전라북도,"1,524,791","1,205,738","482,694",31.64%,79.0%,"319,053",
전라남도,"1,572,838","1,239,266","535,321",34.04%,78.8%,"333,572",
경상북도,"2,249,984","1,711,673","613,173",27.25%,76.1%,"538,311",
경상남도,"2,744,633","2,135,097","736,344",26.83%,77.8%,"609,536",
제주특별자치도,"518,000","374,578","116,186",22.43%,72.3%,"143,422",
