"군사별",2016,2016
"군사별",남한,북한
"병력(평시)",,
"육군",49.0만여 명,110만여 명
"해군",7.0만여 명(해병대 2.9만여 명 포함),6만여 명
"공군",6.5만여 명,11만여 명
"전략군",-,1만여 명
"계",62.5만여 명,128만여 명
"주요전력",,
"육군",,
"부대",,
"군단(급)",12(특전사 포함),17
"사단",43(해병대 포함),82
"기동여단",15(해병대 포함),74(교도여단 미포함)
"장비",,
"전차",2400여 대(해병대 포함),4300여 대
"장갑차",2700여 대(해병대 포함),2500여 대
"야포",5700여 문(해병대 포함),8600여 문
"다련장/방사포",200여 문,5500여 문
"지대지유도무기",발사대 60여 기,발사대 100여 기(전략군)
"해군",,
"수상함정",,
"전투함정",110여 척,430여 척
"상륙함정",10여 척,250여 척
"기뢰전함정(소해정)",10여 척,20여 척
"지원함정",20여 척,40여 척
"잠수함정",10여 척,70여 척
"공군",,
"전투임무기",410여 대,810여 대
"감시통제기",60여 대(해군 항공기 포함),30여 대
"공중기동기(AN-2포함)",50여 대,330여 대
"훈련기",180여 대,170여 대
"헬기",690여 대,290여 대
"예비병력",310만여 명(사관후보생 전시근로소집 전환/대체 복무 인원 등 포함),762만여 명(교도대 노농적위군 붉은청년근위대 등 포함)
